time_unix,monotonic,roll,pitch,yaw,rollspeed,pitchspeed,yawspeed
1778616118.990,6415.999,0.0,0.0,0.0,0.0,0.0,0.0
1778616119.241,6416.250,0.0,0.0,0.0,0.0,0.0,0.0
1778616119.492,6416.501,0.0,0.0,0.0,0.0,0.0,0.0
1778616119.743,6416.752,0.0,0.0,0.0,0.0,0.0,0.0
1778616119.993,6417.002,0.0,0.0,0.0,0.0,0.0,0.0
1778616120.244,6417.253,0.0,0.0,0.0,0.0,0.0,0.0
1778616120.495,6417.504,0.0,0.0,0.0,0.0,0.0,0.0
1778616120.745,6417.755,0.0,0.0,0.0,0.0,0.0,0.0
1778616120.996,6418.005,0.0,0.0,0.0,0.0,0.0,0.0
1778616121.247,6418.256,0.0,0.0,0.0,0.0,0.0,0.0
1778616121.498,6418.507,0.0,0.0,0.0,0.0,0.0,0.0
1778616121.748,6418.758,0.0,0.0,0.0,0.0,0.0,0.0
1778616121.999,6419.008,0.0,0.0,0.0,0.0,0.0,0.0
1778616122.250,6419.259,0.0,0.0,0.0,0.0,0.0,0.0
1778616122.501,6419.510,0.0,0.0,0.0,0.0,0.0,0.0
1778616122.752,6419.761,0.0,0.0,0.0,0.0,0.0,0.0
1778616123.002,6420.011,0.0,0.0,0.0,0.0,0.0,0.0
1778616123.253,6420.262,0.0,0.0,0.0,0.0,0.0,0.0
1778616123.504,6420.513,0.0,0.0,0.0,0.0,0.0,0.0
1778616123.755,6420.764,0.0,0.0,0.0,0.0,0.0,0.0
1778616124.005,6421.014,0.0,0.0,0.0,0.0,0.0,0.0
1778616124.256,6421.265,0.0,0.0,0.0,0.0,0.0,0.0
1778616124.507,6421.516,0.0,0.0,0.0,0.0,0.0,0.0
1778616124.758,6421.767,0.0,0.0,0.0,0.0,0.0,0.0
1778616125.008,6422.017,0.0,0.0,0.0,0.0,0.0,0.0
1778616125.259,6422.268,0.0,0.0,0.0,0.0,0.0,0.0
1778616125.510,6422.519,0.0,0.0,0.0,0.0,0.0,0.0
1778616125.760,6422.770,0.0,0.0,0.0,0.0,0.0,0.0
1778616126.011,6423.020,0.0,0.0,0.0,0.0,0.0,0.0
1778616126.262,6423.271,0.0,0.0,0.0,0.0,0.0,0.0
1778616126.513,6423.522,0.0,0.0,0.0,0.0,0.0,0.0
1778616126.763,6423.772,0.0,0.0,0.0,0.0,0.0,0.0
1778616127.014,6424.023,0.0,0.0,0.0,0.0,0.0,0.0
1778616127.265,6424.274,0.0,0.0,0.0,0.0,0.0,0.0
1778616127.516,6424.525,0.0,0.0,0.0,0.0,0.0,0.0
1778616127.766,6424.775,0.0,0.0,0.0,0.0,0.0,0.0
1778616128.017,6425.026,0.0,0.0,0.0,0.0,0.0,0.0
1778616128.268,6425.277,0.0,0.0,0.0,0.0,0.0,0.0
1778616128.519,6425.528,0.0,0.0,0.0,0.0,0.0,0.0
1778616128.769,6425.778,0.0,0.0,0.0,0.0,0.0,0.0
1778616129.020,6426.029,0.0,0.0,0.0,0.0,0.0,0.0
1778616129.271,6426.280,0.0,0.0,0.0,0.0,0.0,0.0
1778616129.522,6426.531,0.0,0.0,0.0,0.0,0.0,0.0
1778616129.773,6426.782,0.0,0.0,0.0,0.0,0.0,0.0
1778616130.023,6427.033,0.0,0.0,0.0,0.0,0.0,0.0
1778616130.274,6427.283,0.0,0.0,0.0,0.0,0.0,0.0
1778616130.525,6427.534,0.0,0.0,0.0,0.0,0.0,0.0
1778616130.776,6427.785,0.0,0.0,0.0,0.0,0.0,0.0
1778616131.026,6428.036,0.0,0.0,0.0,0.0,0.0,0.0
1778616131.277,6428.286,0.0,0.0,0.0,0.0,0.0,0.0
1778616131.528,6428.537,0.0,0.0,0.0,0.0,0.0,0.0
1778616131.779,6428.788,0.0,0.0,0.0,0.0,0.0,0.0
1778616132.029,6429.039,0.0,0.0,0.0,0.0,0.0,0.0
1778616132.280,6429.289,0.0,0.0,0.0,0.0,0.0,0.0
1778616132.531,6429.540,0.0,0.0,0.0,0.0,0.0,0.0
1778616132.782,6429.791,0.0,0.0,0.0,0.0,0.0,0.0
1778616133.032,6430.042,0.0,0.0,0.0,0.0,0.0,0.0
1778616133.283,6430.292,0.0,0.0,0.0,0.0,0.0,0.0
1778616133.534,6430.543,0.0,0.0,0.0,0.0,0.0,0.0
1778616133.785,6430.794,0.0,0.0,0.0,0.0,0.0,0.0
1778616134.035,6431.044,0.0,0.0,0.0,0.0,0.0,0.0
1778616134.286,6431.295,0.0,0.0,0.0,0.0,0.0,0.0
1778616134.537,6431.546,0.0,0.0,0.0,0.0,0.0,0.0
1778616134.788,6431.797,0.0,0.0,0.0,0.0,0.0,0.0
1778616134.988,6431.997,0.0,0.0,0.0,0.0,0.0,0.0
1778616135.239,6432.248,0.0,0.0,0.0,0.0,0.0,0.0
1778616135.490,6432.499,0.0,0.0,0.0,0.0,0.0,0.0
1778616135.740,6432.750,0.0,0.0,0.0,0.0,0.0,0.0
1778616135.991,6433.000,0.0,0.0,0.0,0.0,0.0,0.0
1778616136.242,6433.251,0.0,0.0,0.0,0.0,0.0,0.0
1778616136.493,6433.502,0.0,0.0,0.0,0.0,0.0,0.0
1778616136.743,6433.752,0.0,0.0,0.0,0.0,0.0,0.0
1778616136.994,6434.003,0.0,0.0,0.0,0.0,0.0,0.0
1778616137.245,6434.254,0.0,0.0,0.0,0.0,0.0,0.0
1778616137.496,6434.505,0.0,0.0,0.0,0.0,0.0,0.0
1778616137.746,6434.756,0.0,0.0,0.0,0.0,0.0,0.0
1778616137.997,6435.006,0.0,0.0,0.0,0.0,0.0,0.0
1778616138.248,6435.257,0.0,0.0,0.0,0.0,0.0,0.0
1778616138.499,6435.508,0.0,0.0,0.0,0.0,0.0,0.0
1778616138.750,6435.759,0.0,0.0,0.0,0.0,0.0,0.0
1778616139.000,6436.009,0.0,0.0,0.0,0.0,0.0,0.0
1778616139.251,6436.260,0.0,0.0,0.0,0.0,0.0,0.0
1778616139.502,6436.511,0.0,0.0,0.0,0.0,0.0,0.0
1778616139.753,6436.762,0.0,0.0,0.0,0.0,0.0,0.0
1778616140.003,6437.012,0.0,0.0,0.0,0.0,0.0,0.0
1778616140.254,6437.263,0.0,0.0,0.0,0.0,0.0,0.0
1778616140.505,6437.514,0.0,0.0,0.0,0.0,0.0,0.0
1778616140.756,6437.765,0.0,0.0,0.0,0.0,0.0,0.0
1778616141.006,6438.015,0.0,0.0,0.0,0.0,0.0,0.0
1778616141.257,6438.266,0.0,0.0,0.0,0.0,0.0,0.0
1778616141.508,6438.517,0.0,0.0,0.0,0.0,0.0,0.0
1778616141.758,6438.768,0.0,0.0,0.0,0.0,0.0,0.0
1778616142.009,6439.018,0.0,0.0,0.0,0.0,0.0,0.0
1778616142.260,6439.269,0.0,0.0,0.0,0.0,0.0,0.0
1778616142.511,6439.520,0.0,0.0,0.0,0.0,0.0,0.0
1778616142.761,6439.771,0.0,0.0,0.0,0.0,0.0,0.0
1778616143.012,6440.021,0.0,0.0,0.0,0.0,0.0,0.0
1778616143.263,6440.272,0.0,0.0,0.0,0.0,0.0,0.0
1778616143.514,6440.523,0.0,0.0,0.0,0.0,0.0,0.0
1778616143.764,6440.773,0.0,0.0,0.0,0.0,0.0,0.0
1778616144.015,6441.024,0.0,0.0,0.0,0.0,0.0,0.0
1778616144.266,6441.275,0.0,0.0,0.0,0.0,0.0,0.0
1778616144.517,6441.526,0.0,0.0,0.0,0.0,0.0,0.0
1778616144.767,6441.777,0.0,0.0,0.0,0.0,0.0,0.0
1778616145.018,6442.027,0.0,0.0,0.0,0.0,0.0,0.0
1778616145.269,6442.278,0.0,0.0,0.0,0.0,0.0,0.0
1778616145.520,6442.529,0.0,0.0,0.0,0.0,0.0,0.0
1778616145.771,6442.780,0.0,0.0,0.0,0.0,0.0,0.0
1778616146.021,6443.031,0.0,0.0,0.0,0.0,0.0,0.0
1778616146.272,6443.281,0.0,0.0,0.0,0.0,0.0,0.0
1778616146.523,6443.532,0.0,0.0,0.0,0.0,0.0,0.0
1778616146.774,6443.783,0.0,0.0,0.0,0.0,0.0,0.0
1778616147.024,6444.034,0.0,0.0,0.0,0.0,0.0,0.0
1778616147.275,6444.284,0.0,0.0,0.0,0.0,0.0,0.0
1778616147.526,6444.535,0.0,0.0,0.0,0.0,0.0,0.0
1778616147.777,6444.786,0.0,0.0,0.0,0.0,0.0,0.0
1778616148.027,6445.037,0.0,0.0,0.0,0.0,0.0,0.0
1778616148.278,6445.287,0.0,0.0,0.0,0.0,0.0,0.0
1778616148.529,6445.538,0.0,0.0,0.0,0.0,0.0,0.0
1778616148.780,6445.789,0.0,0.0,0.0,0.0,0.0,0.0
1778616149.030,6446.040,0.0,0.0,0.0,0.0,0.0,0.0
1778616149.281,6446.290,0.0,0.0,0.0,0.0,0.0,0.0
1778616149.532,6446.541,0.0,0.0,0.0,0.0,0.0,0.0
1778616149.783,6446.792,0.0,0.0,0.0,0.0,0.0,0.0
1778616150.033,6447.043,0.0,0.0,0.0,0.0,0.0,0.0
1778616150.284,6447.293,0.0,0.0,0.0,0.0,0.0,0.0
1778616150.535,6447.544,0.0,0.0,0.0,0.0,0.0,0.0
1778616150.786,6447.795,0.0,0.0,0.0,0.0,0.0,0.0
1778616151.036,6448.046,0.0,0.0,0.0,0.0,0.0,0.0
1778616151.287,6448.296,0.0,0.0,0.0,0.0,0.0,0.0
1778616151.538,6448.547,0.0,0.0,0.0,0.0,0.0,0.0
1778616151.739,6448.748,0.0,0.0,0.0,0.0,0.0,0.0
1778616151.989,6448.998,0.0,0.0,0.0,0.0,0.0,0.0
1778616152.240,6449.249,0.0,0.0,0.0,0.0,0.0,0.0
1778616152.491,6449.500,0.0,0.0,0.0,0.0,0.0,0.0
1778616152.741,6449.750,0.0,0.0,0.0,0.0,0.0,0.0
1778616152.992,6450.001,0.0,0.0,0.0,0.0,0.0,0.0
1778616153.243,6450.252,0.0,0.0,0.0,0.0,0.0,0.0
1778616153.494,6450.503,0.0,0.0,0.0,0.0,0.0,0.0
1778616153.744,6450.753,0.0,0.0,0.0,0.0,0.0,0.0
1778616153.995,6451.004,0.0,0.0,0.0,0.0,0.0,0.0
1778616154.246,6451.255,0.0,0.0,0.0,0.0,0.0,0.0
1778616154.497,6451.506,0.0,0.0,0.0,0.0,0.0,0.0
1778616154.747,6451.756,0.0,0.0,0.0,0.0,0.0,0.0
1778616154.998,6452.007,0.0,0.0,0.0,0.0,0.0,0.0
1778616155.249,6452.258,0.0,0.0,0.0,0.0,0.0,0.0
1778616155.499,6452.508,0.0,0.0,0.0,0.0,0.0,0.0
1778616155.750,6452.759,0.0,0.0,0.0,0.0,0.0,0.0
1778616156.001,6453.010,0.0,0.0,0.0,0.0,0.0,0.0
1778616156.252,6453.261,0.0,0.0,0.0,0.0,0.0,0.0
1778616156.502,6453.511,0.0,0.0,0.0,0.0,0.0,0.0
1778616156.753,6453.762,0.0,0.0,0.0,0.0,0.0,0.0
1778616157.004,6454.013,0.0,0.0,0.0,0.0,0.0,0.0
1778616157.255,6454.264,0.0,0.0,0.0,0.0,0.0,0.0
1778616157.505,6454.514,0.0,0.0,0.0,0.0,0.0,0.0
1778616157.756,6454.765,0.0,0.0,0.0,0.0,0.0,0.0
1778616158.007,6455.016,0.0,0.0,0.0,0.0,0.0,0.0
1778616158.258,6455.267,0.0,0.0,0.0,0.0,0.0,0.0
1778616158.508,6455.517,0.0,0.0,0.0,0.0,0.0,0.0
1778616158.759,6455.768,0.0,0.0,0.0,0.0,0.0,0.0
1778616159.010,6456.019,0.0,0.0,0.0,0.0,0.0,0.0
1778616159.261,6456.270,0.0,0.0,0.0,0.0,0.0,0.0
1778616159.511,6456.520,0.0,0.0,0.0,0.0,0.0,0.0
1778616159.762,6456.771,0.0,0.0,0.0,0.0,0.0,0.0
1778616160.013,6457.022,0.0,0.0,0.0,0.0,0.0,0.0
1778616160.264,6457.273,0.0,0.0,0.0,0.0,0.0,0.0
1778616160.515,6457.524,0.0,0.0,0.0,0.0,0.0,0.0
